pos_b37	PP4_colocR	diagABF_nosso
180900448	3.18103004882062e-51	7.32277992196938e-42
180901122	5.80275380808358e-53	8.66864755541897e-42
180901239	5.75185384410327e-53	8.68899983072374e-42
180901398	4.52208934916098e-49	2.15922679893313e-39
180903173	1.03829214974023e-51	3.40292570226403e-42
180903479	2.64890466868457e-49	2.29057000794855e-39
180903558	1.10956344376856e-49	1.31716256262858e-39
180904063	7.60107786053717e-52	3.13697645787533e-42
180905263	4.12855787098782e-51	5.46502574939569e-42
180905352	6.13954520422031e-53	9.08134868540125e-42
180905448	6.16536077518475e-53	9.5190129392854e-42
180906306	5.71659040313362e-53	8.85899684561702e-42
180907053	5.70727078181752e-53	8.893793947517e-42
180908511	6.06823568107305e-53	8.97394423286561e-42
180909549	5.92709197312038e-53	9.00243213240443e-42
180911078	1.56788134310071e-50	4.45208815820726e-42
180912006	3.32323893436523e-51	1.91048889143776e-40
180915596	2.14724755415576e-52	2.20434136885607e-41
180916130	9.36566095319399e-53	1.1751913525472e-41
180917014	1.07744292561378e-47	1.35749119876249e-39
180917275	1.27703899119668e-51	7.15642380972635e-41
180917342	1.47800953185146e-51	2.27095139803194e-41
180918071	8.31167787368278e-47	2.09288401865902e-39
180918705	7.93083648982694e-53	8.89121099029916e-42
180919151	5.14856009302566e-41	8.26630494104967e-33
180919255	2.74527420798367e-50	5.99519602895781e-40
180920177	2.71300705976546e-50	4.8413639087144e-40
180920181	7.32084760957784e-42	1.3686666187044e-33
180920226	2.45168404593901e-46	2.06377182126729e-37
180921330	6.2854789165431e-42	1.26475995000851e-33
180921640	3.17815429059906e-50	1.07705829489383e-39
180922008	1.46580417740134e-36	2.23750212062373e-29
180922807	2.01045695955102e-36	2.86815650507997e-29
180923235	1.36761326812812e-36	2.13982882320037e-29
180923587	1.71767863910537e-42	2.80417658082007e-34
180926626	1.47303610186848e-52	8.41062851288611e-42
180926705	1.69804253503244e-52	9.05373516685004e-42
180926890	7.44921748063089e-46	4.48699532892068e-37
180928216	2.49026487206333e-45	8.42632454396783e-37
180928507	1.95713547235847e-40	4.14732131273178e-32
180929020	3.0799128264506e-45	9.77191939242308e-37
180929133	1.6245534684073e-40	3.6022249386468e-32
180929200	8.69748382998058e-37	1.57278559485879e-29
180930024	1.47221766006326e-40	3.32407598123084e-32
180930050	1.53212223931894e-40	3.4596720357418e-32
180930215	1.59886756513325e-40	3.57427122136596e-32
180930219	1.56897249480752e-40	3.52150429348675e-32
180930334	1.62935852210495e-40	3.7031236134519e-32
180931300	1.56269689609371e-40	3.52681558195351e-32
180931508	1.1023181790802e-40	2.7933478306095e-32
180931792	6.16695377544714e-41	1.75013951116458e-32
180931950	2.39018950464029e-45	1.00758749903856e-36
180932175	1.71271727286233e-45	8.08428401565185e-37
180932579	1.38576132388408e-46	1.96458808723158e-37
180932724	1.46384589230389e-40	3.34295438956262e-32
180932973	3.64572521872588e-50	7.2661019243447e-40
180933498	1.46894720744175e-40	3.26160864990711e-32
180934163	3.6444855713549e-41	3.36353186109133e-33
180935975	4.56586575607302e-46	3.14936086613075e-37
180936030	4.98100053410974e-39	5.30946993607537e-31
180936374	4.95184220909043e-51	6.08928377267596e-42
180936817	4.39823615940045e-46	3.07367930699922e-37
180936823	4.37647689572211e-46	3.06372977542504e-37
180937117	7.35098553264889e-51	5.55131631145597e-42
180937456	6.63193476036936e-39	6.46489796440821e-31
180937524	4.73050003807761e-46	3.24511241590292e-37
180938055	4.23203340105234e-46	2.99016181816424e-37
180938117	3.88603429265915e-46	2.89476295537031e-37
180938811	2.58592935355115e-40	4.62497509198905e-32
180938850	2.08272555481946e-52	1.01234343182285e-41
180938919	1.07283796202292e-47	3.42217736430686e-38
180939058	5.31307964472288e-47	1.31192907564096e-37
180940588	6.56967605075699e-32	2.18188275363328e-26
180943529	0.00239813354289558	0.00157411805021534
180945052	2.45722266616689e-49	9.14339845454679e-41
180947295	1.33928891535184e-51	3.38502670674682e-42
180947608	0.00184231011011545	0.00188185767611868
180948506	0.00376055374181925	0.00373125919483612
180948574	0.0167031876450255	0.0173564325000019
180949131	0.0166596562029585	0.0173670720171719
180949628	0.0314750588904835	0.0334544338679267
180949780	0.0600344991629059	0.0504530031770114
180950126	4.17653441685e-05	0.000192417687666562
180950869	0.0518793914634602	0.0489320174567777
180951043	0.0518566239186353	0.0491675586673582
180951692	0.104753557963188	0.0923223672532186
180952516	0.0609534099288334	0.0611772874710553
180953038	0.0545478658645586	0.0523792150704718
180953853	0.035872061659054	0.0447809647738224
180954089	0.0543058581977484	0.0526790132108419
180954130	0.0544198373324162	0.052784126184556
180956015	0.067213011857413	0.0615057664814446
180956195	2.95178972353482e-31	1.10244767077859e-25
180956905	0.0560287205346913	0.0542365881691649
180956985	0.0655655351159801	0.0663982241254374
180957130	2.37552527839008e-31	8.40007644428851e-26
180957962	0.0503219571878669	0.06622385577688
180958946	0.0592431670689589	0.0598115374513829
180960009	6.06563531109731e-45	1.85153257641655e-39
180961121	4.69268911261102e-31	3.14020133498967e-26
180961245	0.0634391796929456	0.0620444764066199
180962282	0.0366846575738725	0.0495464073300198
180962526	1.64053619328086e-51	3.68596941654346e-42
180963817	2.32481509282314e-51	3.80383007329609e-42
180966193	1.31034552142981e-37	1.353559133034e-30
180967348	2.13318063550669e-51	4.03405778407337e-42
180968905	1.60349815477862e-47	1.27090238734572e-39
180969045	1.29513316433234e-51	8.57163775401453e-41
180969115	3.16429128902408e-37	3.05702253839759e-30
180971327	9.72517366660119e-38	4.31140846449806e-31
180972363	3.25216496977921e-29	2.9663847329182e-24
180972918	3.28436210706863e-48	8.95170046441702e-40
180973491	1.74213417585702e-48	1.14487120072293e-39
180975032	4.33227829039849e-37	3.83252037136468e-30
180975614	1.71017681340541e-40	1.09323144478959e-33
180976091	4.12742385719082e-37	4.01182334669901e-30
180976602	2.00316751537151e-51	4.02792288509341e-42
180976891	2.20758599171125e-36	1.03491693634715e-29
180977688	5.63796981749551e-29	4.09030909274203e-24
180978091	1.74682878907075e-50	5.37752107700312e-42
180978359	1.79177253530927e-50	5.4080279337798e-42
180979240	1.57983824648939e-51	1.59212391772499e-42
180980282	1.98986408893017e-51	4.01873470674511e-42
180980443	2.76219358074204e-37	2.5368216959963e-30
180980621	1.57412775418173e-51	1.59333215946943e-42
180981477	1.30446223087813e-51	8.63964466693906e-41
180981696	1.10235878841274e-39	1.9178303403879e-34
180981786	1.96203482727027e-38	3.73806418330103e-31
180982653	2.14721615925856e-51	1.26082109171597e-40
180983057	6.25996662055524e-29	5.26930666246507e-24
180984564	2.13595424143444e-51	4.06892238594661e-42
180986077	5.24285661503146e-29	4.15640263487545e-24
180986251	4.78399784960557e-29	3.85097030503423e-24
180988391	9.23874449043163e-52	6.62471802077883e-41
180988636	9.45036636423635e-35	1.04242177917108e-28
180991665	2.04449144343906e-37	1.70428573291428e-30
180992474	2.24337569314317e-51	4.04831211983693e-42
180994590	2.24266674461663e-40	2.50312358870743e-35
180995441	8.1656034604971e-37	4.64362365896446e-30
180997264	3.69577160026947e-51	5.51769367298654e-42
180998570	6.69259560305614e-30	5.34055483372855e-25
180998608	2.60752026635189e-51	3.98873152781306e-42
180999211	3.97439504366003e-36	3.91328060631593e-31
180999351	5.07737034592204e-52	4.28974075570458e-41
181000320	5.44166206384732e-42	2.37801175688654e-34
181000615	2.55115179117502e-51	3.94681339555494e-42
181002479	5.59442536739163e-41	3.13778251862798e-33
181002748	4.1502986313991e-41	2.37848035733003e-33
181005024	1.29514600575038e-40	5.36252667342458e-33
181005093	6.20383136704214e-40	1.83603603941376e-32
181005132	9.35693321460521e-49	5.61758212426938e-41
181005644	1.32951410084974e-38	2.29756273152443e-31
181005934	2.37654134019875e-41	1.90993897747444e-35
181006930	6.05380178144842e-30	5.16412508831207e-25
181008007	1.7868446180637e-37	1.36935720234555e-30
181008141	2.44221781716838e-48	9.2942129851417e-40
181008916	1.99107269800525e-30	1.74179912405415e-25
181009466	5.53527859931481e-30	4.54846891879089e-25
181009624	4.61054720545141e-41	2.42943936309467e-33
181009663	8.8671504619986e-52	2.94731207288043e-42
181010442	4.03759204026516e-41	2.20812001103529e-33
181011166	2.35740298709199e-40	1.53069104650318e-35
181011487	7.36404441887674e-40	9.47487218577575e-35
181011754	3.97527893273995e-41	2.18466716151201e-33
181011913	1.85980935383832e-40	7.37857083801052e-33
181011922	1.02463558147652e-39	8.81081877073748e-35
181012229	1.60067357237377e-40	7.02315167132006e-33
181012472	3.97709630320969e-41	2.1824143371849e-33
181012797	3.01776265561315e-41	1.91249510168598e-33
181012971	3.83707613577511e-41	2.16157768421156e-33
181013378	4.94321447965909e-39	8.13478999918119e-32
181014239	1.48310430709189e-40	6.14072949269518e-33
181014911	1.12266255358239e-51	9.27883955199834e-43
181015333	6.68412868754645e-40	8.73610682409431e-35
181017211	6.53902697400721e-52	4.40837395802221e-41
181017247	3.9666330910855e-32	5.97670441089525e-27
181017348	2.81871091454129e-32	4.12198525840885e-27
181017803	5.95706442117924e-52	2.94333573219275e-42
181017833	1.52273732211253e-51	2.97156064260544e-42
181018180	7.61349230294983e-49	7.59180184954167e-40
181018236	3.86555306358923e-49	1.0342527656139e-39
181018799	1.56019601069934e-44	1.16386643401303e-35
181019677	8.76857041252866e-52	3.26863709925886e-42
181020181	3.41375221251579e-52	4.01957535236106e-42
181020230	2.9759069174151e-45	3.54278368550919e-36
181020317	3.22178022951062e-52	3.96233283138156e-42
181021483	1.05244948875376e-51	3.90040043878631e-42
181021857	4.07185510287173e-45	4.32928816062239e-36
181022034	9.5590685725869e-51	1.35479856929954e-42
181022047	9.55808673932505e-51	1.35456448838738e-42
181022072	2.32281444701423e-51	3.75686451472016e-42
181022895	3.87004790673408e-45	4.22129025424782e-36
181022907	9.54214079453846e-51	1.35579068478978e-42
181023605	3.44854585278432e-52	4.15792331693766e-42
181023690	3.43263576522796e-52	4.14036236319117e-42
181024528	2.47953834133409e-51	3.85015883413392e-42
181024863	7.10767704575118e-52	3.62404101917544e-42
181026031	1.0987393272784e-49	1.51332779345509e-40
181026238	2.53824253255398e-35	4.09949778852861e-28
181026704	2.19940853844418e-36	6.90571810295474e-29
181027086	2.74034439720276e-35	3.5001808265804e-28
181027169	8.47942361151238e-50	1.35675736168801e-40
181027327	4.92267641184294e-35	5.42723973696229e-28
181027459	2.08764884777081e-50	3.97447232113111e-41
181027559	2.95587051379809e-49	1.0227789884377e-39
181027841	1.39598239879789e-32	3.55560725434813e-26
181027925	8.08997716473142e-50	1.33162315441461e-40
181028123	9.17132761461655e-50	1.42370528086096e-40
181028463	9.71019052938109e-51	1.35901027213862e-42
